,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track
5597,0.504,0.978,10,-3.19,1,0.217,0.00246,0.0,0.152,0.509,81.921,audio_features,1sVYY8VLcmJp3zUznMPaDl,spotify:track:1sVYY8VLcmJp3zUznMPaDl,https://api.spotify.com/v1/tracks/1sVYY8VLcmJp3zUznMPaDl,https://api.spotify.com/v1/audio-analysis/1sVYY8VLcmJp3zUznMPaDl,342727,4,What He Done For Me
5598,0.681,0.631,6,-8.113,0,0.0368,0.146,0.0,0.186,0.435,119.958,audio_features,0PmR5qkdf9khc9fUbRXV4y,spotify:track:0PmR5qkdf9khc9fUbRXV4y,https://api.spotify.com/v1/tracks/0PmR5qkdf9khc9fUbRXV4y,https://api.spotify.com/v1/audio-analysis/0PmR5qkdf9khc9fUbRXV4y,191762,4,Truth And Lies
5599,0.556,0.432,9,-10.169,1,0.0335,0.566,0.0,0.117,0.428,108.052,audio_features,1CTJMAVosGA68USq3jh5qh,spotify:track:1CTJMAVosGA68USq3jh5qh,https://api.spotify.com/v1/tracks/1CTJMAVosGA68USq3jh5qh,https://api.spotify.com/v1/audio-analysis/1CTJMAVosGA68USq3jh5qh,154133,4,That Old Gang Of Mine
5600,0.586,0.322,8,-11.43,0,0.04,0.21,0.0,0.0737,0.665,127.02,audio_features,4atI4s4twgaBjdjfupti2e,spotify:track:4atI4s4twgaBjdjfupti2e,https://api.spotify.com/v1/tracks/4atI4s4twgaBjdjfupti2e,https://api.spotify.com/v1/audio-analysis/4atI4s4twgaBjdjfupti2e,144133,4,Just Come In
5601,0.485,0.0444,5,-19.897,1,0.0687,0.995,0.852,0.0931,0.4,73.557,audio_features,6KQj5bAPcmhsGcdrDtc006,spotify:track:6KQj5bAPcmhsGcdrDtc006,https://api.spotify.com/v1/tracks/6KQj5bAPcmhsGcdrDtc006,https://api.spotify.com/v1/audio-analysis/6KQj5bAPcmhsGcdrDtc006,152600,1,Old Dan Tucker
5602,0.556,0.353,5,-16.22,1,0.0338,0.92,0.731,0.294,0.429,126.864,audio_features,0xJ0KC1ryGJtrHdA4GKg7f,spotify:track:0xJ0KC1ryGJtrHdA4GKg7f,https://api.spotify.com/v1/tracks/0xJ0KC1ryGJtrHdA4GKg7f,https://api.spotify.com/v1/audio-analysis/0xJ0KC1ryGJtrHdA4GKg7f,121417,4,One More Breath
5603,0.489,0.462,5,-15.087,1,0.0353,0.653,0.364,0.0627,0.673,104.09,audio_features,0Gj1hNTYtyLAAl5jwBY1qu,spotify:track:0Gj1hNTYtyLAAl5jwBY1qu,https://api.spotify.com/v1/tracks/0Gj1hNTYtyLAAl5jwBY1qu,https://api.spotify.com/v1/audio-analysis/0Gj1hNTYtyLAAl5jwBY1qu,375400,3,For You Mom & Dad
5604,0.694,0.562,8,-5.369,1,0.0312,0.615,0.0,0.182,0.643,86.039,audio_features,2fgQEcjxyFvOo1fhMJ2ftD,spotify:track:2fgQEcjxyFvOo1fhMJ2ftD,https://api.spotify.com/v1/tracks/2fgQEcjxyFvOo1fhMJ2ftD,https://api.spotify.com/v1/audio-analysis/2fgQEcjxyFvOo1fhMJ2ftD,255500,4,Ta Methismena S' Agapo
5605,0.66,0.383,2,-9.377,1,0.0304,0.381,0.0,0.119,0.381,83.096,audio_features,5kNe7PE09d6Kvw5pAsx23n,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,227427,4,Happy
5606,0.605,0.573,2,-10.131,1,0.356,0.041,0.0,0.0913,0.183,103.381,audio_features,2mbHrRS2a7LcXhqXFiK7xf,spotify:track:2mbHrRS2a7LcXhqXFiK7xf,https://api.spotify.com/v1/tracks/2mbHrRS2a7LcXhqXFiK7xf,https://api.spotify.com/v1/audio-analysis/2mbHrRS2a7LcXhqXFiK7xf,185051,5,Designer Chick
5607,0.558,0.452,4,-10.637,1,0.0374,0.375,1.02e-05,0.0632,0.952,134.339,audio_features,61s4aBlBfF0M7VG8kffOEB,spotify:track:61s4aBlBfF0M7VG8kffOEB,https://api.spotify.com/v1/tracks/61s4aBlBfF0M7VG8kffOEB,https://api.spotify.com/v1/audio-analysis/61s4aBlBfF0M7VG8kffOEB,325200,4,Gangsta Roll
